id,first_name,last_name,dynasty,ship_id,status,home_planet,is_visible
,Audrey,Hayes,Tranquility,polaris,Present and accounted for,Caelena,FALSE
,Naoki,Elmer,Purity,memory,Present and accounted for,Ellarion,FALSE
,Louis,Hayden,Ambition,spectrum,Present and accounted for,Ellarion,FALSE
,Marina,Linton,Ambition,cyclone,Present and accounted for,Ellarion,FALSE
,Laurena,North,None,immortal,Present and accounted for,Caelena,FALSE
,Gladwyn,Miyamoto,Hope,inferno,Present and accounted for,Ellarion,FALSE
,Souma,Courtenay,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Boyd,Bagley,Confidence,spectrum,Present and accounted for,Ellarion,FALSE
,Annabella,Howard,Generosity,polaris,Present and accounted for,Ellarion,FALSE
,Youta,Sanders,Strength,polaris,Present and accounted for,Ellarion,FALSE
,Faron,Ito,Tranquility,whirlwind,Present and accounted for,Ellarion,FALSE
,Rosaleen,Disney,Excellence,spectrum,Present and accounted for,Ellarion,FALSE
,Nellie,Terrell,Loyalty,polaris,Present and accounted for,Ellarion,FALSE
,Abegail,Richardson,Ambition,spectrum,Present and accounted for,Ellarion,FALSE
,Taylor,Appleton,Loyalty,polaris,Present and accounted for,Ellarion,FALSE
,Tilly,Fay,Strength,aurora,Present and accounted for,Ellarion,FALSE
,Bentley,Burton,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Kalysta,Parsons,Loyalty,immortal,Present and accounted for,Osiris,FALSE
,Carlie,Lincoln,Ambition,cyclone,Present and accounted for,Ellarion,FALSE
,Coby,Taylor,Strength,polaris,Present and accounted for,Ellarion,FALSE
,Braeden,Merrill,Loyalty,starfall,Present and accounted for,Osiris,FALSE
,Waldo,Dwerryhouse,Mercy,spectrum,Present and accounted for,Ellarion,FALSE
,Spike,Nelson,Strength,immortal,Present and accounted for,Ellarion,FALSE
,Di,Sweet,Dedication,warrior,Present and accounted for,Caelena,FALSE
,Calvin,Millward,Tenacity,aurora,Present and accounted for,Ellarion,FALSE
,Thad,Howe,Hope,aurora,Present and accounted for,Ellarion,FALSE
,Anton,Teel,Hope,cyclone,Present and accounted for,Ellarion,FALSE
,Patty,Wakefield,Purity,harbinger,Present and accounted for,Osiris,FALSE
,Lucky,Cockburn,Confidence,halo,Present and accounted for,Ellarion,FALSE
,Rocky,Mynatt,Tenacity,inferno,Present and accounted for,Ellarion,FALSE
,Setsuko,Brown,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Layton,House,Strength,spectrum,Present and accounted for,Caelena,FALSE
,Haylie,Glover,Generosity,immortal,Present and accounted for,Ellarion,FALSE
,Jonquil,Wilkins,Intelligence,immortal,Present and accounted for,Osiris,FALSE
,Milton,Hudnall,Ambition,memory,Present and accounted for,Osiris,FALSE
,Sheryl,Croft,Loyalty,cyclone,Present and accounted for,Ellarion,FALSE
,Iona,Montgomery,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Leonid,Sydney,None,starfall,Present and accounted for,Osiris,FALSE
,Wendell,Allsopp,Loyalty,starfall,Present and accounted for,Ellarion,FALSE
,Faina,Outlaw,None,starfall,Present and accounted for,Ellarion,FALSE
,Jamey,Bentley,Ambition,harbinger,Present and accounted for,Ellarion,FALSE
,Roz,Ellisson,Confidence,spectrum,Present and accounted for,Ellarion,FALSE
,Eugenia,Abe,Purity,polaris,Present and accounted for,Osiris,FALSE
,Thad,Bullard,Purity,halo,Present and accounted for,Ellarion,FALSE
,Shanae,Snider,Hope,aurora,Present and accounted for,Ellarion,FALSE
,Reginald,Walterson,Tenacity,polaris,Present and accounted for,Ellarion,FALSE
,Melville,Hilton,Loyalty,vulture,Present and accounted for,Osiris,FALSE
,Yakim,Pottinger,Ambition,starfall,Present and accounted for,Osiris,FALSE
,Renee,Humphrey,Ambition,spectrum,Present and accounted for,Osiris,FALSE
,Dorita,Harrison,Ambition,polaris,Present and accounted for,Ellarion,FALSE
,Fawn,Fry,Strength,centurion,Present and accounted for,Ellarion,FALSE
,Conner,Horsfall,Justice,spectrum,Present and accounted for,Ellarion,FALSE
,Alexandra,Clinton,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Clayton,Derrickson,Loyalty,spectrum,Present and accounted for,Ellarion,FALSE
,Yakim,Revie,Purity,cyclone,Present and accounted for,Ellarion,FALSE
,Nell,Layton,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Trish,Wynne,Ambition,cyclone,Present and accounted for,Caelena,FALSE
,Amias,Eustis,Loyalty,spectrum,Present and accounted for,Ellarion,FALSE
,Gerard,Lacy,Tranquility,cyclone,Present and accounted for,Ellarion,FALSE
,Fern,Ogden,Excellence,immortal,Present and accounted for,Ellarion,FALSE
,Mikey,Vipond,Tenacity,starfall,Present and accounted for,Ellarion,FALSE
,Linnette,Arkwright,Hope,polaris,Present and accounted for,Ellarion,FALSE
,Satchel,Rimmer,Loyalty,polaris,Present and accounted for,Osiris,FALSE
,Candice,Earls,Mercy,immortal,Present and accounted for,Osiris,FALSE
,Rosalyn,Lewis,Hope,immortal,Present and accounted for,Osiris,FALSE
,Herman,Fairburn,Ambition,halo,Present and accounted for,Ellarion,FALSE
,Lucinda,Huxtable,Purity,warrior,Present and accounted for,Ellarion,FALSE
,Ryota,Savidge,Ambition,aurora,Present and accounted for,Ellarion,FALSE
,Varlaam,Atkinson,None,spectrum,Present and accounted for,Ellarion,FALSE
,Wilma,Vasilyev,Ambition,polaris,Present and accounted for,Ellarion,FALSE
,Astra,Sherman,Excellence,whirlwind,Present and accounted for,Caelena,FALSE
,Helena,Garrod,Logic,cyclone,Present and accounted for,Caelena,FALSE
,Anastacia,Bogdanov,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Heather,Kitchen,Defiance,starfall,Present and accounted for,Osiris,FALSE
,Esther,Polley,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Milford,Parks,Purity,memory,Present and accounted for,Ellarion,FALSE
,Jax,Nixon,Ambition,starfall,Present and accounted for,Osiris,FALSE
,Shou,Stevens,Confidence,spectrum,Present and accounted for,Ellarion,FALSE
,Angel,Simmons,Generosity,polaris,Present and accounted for,Ellarion,FALSE
,Tempest,Oliverson,Purity,aurora,Present and accounted for,Ellarion,FALSE
,Georgie,Josephs,Loyalty,polaris,Present and accounted for,Caelena,FALSE
,JoBeth,Marlow,Ambition,centurion,Present and accounted for,Caelena,FALSE
,Adrianne,Pickle,Hope,spectrum,Present and accounted for,Osiris,FALSE
,Lennie,Phillips,Confidence,polaris,Present and accounted for,Ellarion,FALSE
,Brayden,Harrison,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Dulcie,Snell,Dedication,immortal,Present and accounted for,Osiris,FALSE
,Odin,Leonardson,Excellence,polaris,Present and accounted for,Ellarion,FALSE
,Dulcie,Kitchen,Confidence,halo,Present and accounted for,Ellarion,FALSE
,Demyan,Hedley,Loyalty,polaris,Present and accounted for,Osiris,FALSE
,Harper,Quincy,Tenacity,spectrum,Present and accounted for,Ellarion,FALSE
,Maura,Ingham,Loyalty,cyclone,Present and accounted for,Caelena,FALSE
,Leonty,Harper,Intelligence,polaris,Present and accounted for,Ellarion,FALSE
,Madeline,House,Purity,ravager,Present and accounted for,Osiris,FALSE
,Odetta,Devine,Tranquility,immortal,Present and accounted for,Osiris,FALSE
,Gale,Osborne,Generosity,centurion,Present and accounted for,Osiris,FALSE
,Christal,Constable,Ambition,aurora,Present and accounted for,Osiris,FALSE
,Robyn,Fowler,None,taurus,Present and accounted for,Osiris,FALSE
,Cassidy,Horne,Fairness,polaris,Present and accounted for,Ellarion,FALSE
,Eleanore,Homewood,Loyalty,immortal,Present and accounted for,Osiris,FALSE
,Vera,Salvage,Tranquility,immortal,Present and accounted for,Osiris,FALSE
,Elenora,Tyson,Ambition,immortal,Present and accounted for,Osiris,FALSE
,Murphy,Filippov,Logic,immortal,Present and accounted for,Caelena,FALSE
,Daffodil,Bryant,Purity,inferno,Present and accounted for,Ellarion,FALSE
,Nadine,Holland,Strength,polaris,Present and accounted for,Ellarion,FALSE
,Avril,Markov,Fairness,immortal,Present and accounted for,Osiris,FALSE
,Gord,Harford,Loyalty,spectrum,Present and accounted for,Ellarion,FALSE
,Rosie,Knight,Confidence,polaris,Present and accounted for,Caelena,FALSE
,Zo&euml;,Symonds,None,cyclone,Present and accounted for,Caelena,FALSE
,Ste,Grenville,None,cyclone,Present and accounted for,Caelena,FALSE
,Betty,Miles,None,halo,Present and accounted for,Ellarion,FALSE
,Reynard,Snell,Excellence,warrior,Present and accounted for,Osiris,FALSE
,Pankratiy,Bartram,Mercy,polaris,Present and accounted for,Ellarion,FALSE
,Wayland,Williamson,Logic,halo,Present and accounted for,Caelena,FALSE
,Taro,Minett,None,taurus,Present and accounted for,Caelena,FALSE
,Glanville,Baldwin,Unity,immortal,Present and accounted for,Osiris,FALSE
,Alexandria,Dukes,Industry,spectrum,Present and accounted for,Ellarion,FALSE
,Hibiki,Itou,Tenacity,aurora,Present and accounted for,Ellarion,FALSE
,Viviette,Maki,Purity,discovery,Present and accounted for,Ellarion,FALSE
,Journee,Senior,Excellence,aurora,Present and accounted for,Ellarion,FALSE
,Imogen,Trask,Confidence,valor,Present and accounted for,Osiris,FALSE
,Wyatt,Andreev,Ambition,spectrum,Present and accounted for,Ellarion,FALSE
,Daisy,Hudnall,Tenacity,whirlwind,Present and accounted for,Caelena,FALSE
,Ken,Ewart,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Allannah,Dennell,Hope,cyclone,Present and accounted for,Caelena,FALSE
,Khariton,Bennet,Strength,halo,Present and accounted for,Ellarion,FALSE
,Rosaline,Wortham,Strength,immortal,Present and accounted for,Osiris,FALSE
,Herbert,Small,Tenacity,ravager,Present and accounted for,Osiris,FALSE
,Sergey,Morce,Generosity,spectrum,Present and accounted for,Ellarion,FALSE
,Lennon,Kynaston,Hope,spectrum,Present and accounted for,Ellarion,FALSE
,Jeremy,Holland,Defiance,spectrum,Present and accounted for,Osiris,FALSE
,Hailee,Sokolovsky,Ambition,polaris,Present and accounted for,Ellarion,FALSE
,Lane,Stephenson,Logic,spectrum,Present and accounted for,Ellarion,FALSE
,Lila,Waterman,Mercy,starfall,Present and accounted for,Osiris,FALSE
,Gemma,Watson,Industry,valor,Present and accounted for,Ellarion,FALSE
,Sergei,Moores,Industry,bluecoat,Present and accounted for,Ellarion,FALSE
,Daryl,Hambleton,Mercy,halo,Present and accounted for,Ellarion,FALSE
,Brandon,Sargent,Strength,inferno,Present and accounted for,Ellarion,FALSE
,Brendon,Hathaway,Justice,cyclone,Present and accounted for,Ellarion,FALSE
,Silvester,Cole,Ambition,aurora,Present and accounted for,Ellarion,FALSE
,Xander,Jervis,Logic,cyclone,Present and accounted for,Caelena,FALSE
,Shelby,Martin,Hope,aurora,Present and accounted for,Ellarion,FALSE
,Jewell,Waller,Purity,aurora,Present and accounted for,Ellarion,FALSE
,Tye,Albertson,Strength,halo,Present and accounted for,Ellarion,FALSE
,Aryana,Nash,Defiance,starfall,Present and accounted for,Osiris,FALSE
,Nikolay,Leighton,Loyalty,discovery,Present and accounted for,Ellarion,FALSE
,Anita,Johnson,Tenacity,halo,Present and accounted for,Ellarion,FALSE
,Inga,Jernigan,Generosity,arthas,Present and accounted for,Ellarion,FALSE
,Janice,Pottinger,Loyalty,spectrum,Present and accounted for,Ellarion,FALSE
,Lyosha,Wynne,Industry,aurora,Present and accounted for,Ellarion,FALSE
,Jenessa,Dwight,Hope,cyclone,Present and accounted for,Ellarion,FALSE
,Lewis,Hicks,Loyalty,halo,Present and accounted for,Ellarion,FALSE
,Nancy,Presley,None,immortal,Present and accounted for,Caelena,FALSE
,Ros,May,Tranquility,spectrum,Present and accounted for,Ellarion,FALSE
,Leeann,Ellsworth,Compassion,spectrum,Present and accounted for,Ellarion,FALSE
,Nelli,Tyrrell,Excellence,polaris,Present and accounted for,Osiris,FALSE
,Freddie,Kendrick,Confidence,spectrum,Present and accounted for,Ellarion,FALSE
,Rikuto,Snyder,Purity,halo,Present and accounted for,Ellarion,FALSE
,Rebeccah,Christison,Mercy,starfall,Present and accounted for,Ellarion,FALSE
,Cordelia,William,Confidence,cyclone,Present and accounted for,Caelena,FALSE
,Lauryn,Thacker,Hope,burro,Present and accounted for,Osiris,FALSE
,Opaline,Kennard,Loyalty,aurora,Present and accounted for,Caelena,FALSE
,Lenard,Hashimoto,Generosity,spectrum,Present and accounted for,Ellarion,FALSE
,Divina,Hancock,Intelligence,spectrum,Present and accounted for,Ellarion,FALSE
,Phillis,Huddleson,Excellence,immortal,Present and accounted for,Caelena,FALSE
,Yoshiko,Frank,Ambition,polaris,Present and accounted for,Osiris,FALSE
,Maegan,Ecclestone,Confidence,aurora,Present and accounted for,Ellarion,FALSE
,Quentin,Watts,Industry,halo,Present and accounted for,Ellarion,FALSE
,Kesha,Parker,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,August,Pain,Excellence,immortal,Present and accounted for,Ellarion,FALSE
,Nikki,Hopkins,Hope,halo,Present and accounted for,Ellarion,FALSE
,Johnathan,Rickard,Hope,spectrum,Present and accounted for,Osiris,FALSE
,Emalee,Shvets,Kindness,spectrum,Present and accounted for,Ellarion,FALSE
,Vladislav,Marlow,Purity,cyclone,Present and accounted for,Caelena,FALSE
,Mariabella,Hume,Dedication,spectrum,Present and accounted for,Ellarion,FALSE
,Shinobu,Elwin,Excellence,immortal,Present and accounted for,Osiris,FALSE
,Pankratiy,Jewel,Confidence,spectrum,Present and accounted for,Ellarion,FALSE
,Maya,Saito,Generosity,immortal,Present and accounted for,Osiris,FALSE
,Zavia,Curtis,Unity,immortal,Present and accounted for,Caelena,FALSE
,Tallulah,Martel,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Danette,Outterridge,Confidence,polaris,Present and accounted for,Osiris,FALSE
,Charmaine,Moore,Purity,polaris,Present and accounted for,Ellarion,FALSE
,Zechariah,Whinery,None,polaris,Present and accounted for,Ellarion,FALSE
,Miu,Dyson,Purity,aurora,Present and accounted for,Ellarion,FALSE
,Divina,Walsh,Defiance,spectrum,Present and accounted for,Ellarion,FALSE
,Ermintrude,Yamazaki,Strength,immortal,Present and accounted for,Caelena,FALSE
,Cynthia,Maki,Purity,immortal,Present and accounted for,Osiris,FALSE
,Austyn,Dwight,Purity,cyclone,Present and accounted for,Ellarion,FALSE
,Celandine,Lukeson,Confidence,aurora,Present and accounted for,Ellarion,FALSE
,Lon,Stroud,Tranquility,polaris,Present and accounted for,Ellarion,FALSE
,Shannen,Michaelson,Ambition,polaris,Present and accounted for,Ellarion,FALSE
,Maximillian,Hepburn,Confidence,immortal,Present and accounted for,Osiris,FALSE
,Cindy,Lowell,Dedication,spectrum,Present and accounted for,Ellarion,FALSE
,Brynlee,Arterberry,Loyalty,whirlwind,Present and accounted for,Osiris,FALSE
,Danny,Wiley,Confidence,polaris,Present and accounted for,Ellarion,FALSE
,Anson,Bagley,Purity,halo,Present and accounted for,Ellarion,FALSE
,Madisyn,Johnson,Intelligence,spectrum,Present and accounted for,Ellarion,FALSE
,Francine,Rowntree,Confidence,spectrum,Present and accounted for,Ellarion,FALSE
,Darcey,Richardson,None,spectrum,Present and accounted for,Ellarion,FALSE
,London,Morris,Mercy,spectrum,Present and accounted for,Ellarion,FALSE
,Abram,Bloxham,Strength,halo,Present and accounted for,Ellarion,FALSE
,Deven,Tchaikovsky,None,whirlwind,Present and accounted for,Ellarion,FALSE
,Tate,Silver,Dedication,prophet,Present and accounted for,Caelena,FALSE
,Vanessa,Fear,Tranquility,polaris,Present and accounted for,Ellarion,FALSE
,Lyn,Summers,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Eugenia,Quick,Intelligence,polaris,Present and accounted for,Ellarion,FALSE
,Heaven,Clement,Confidence,polaris,Present and accounted for,Ellarion,FALSE
,Deirdre,Watanabe,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Irvine,Skeates,Purity,centurion,Present and accounted for,Caelena,FALSE
,Terence,David,Purity,spectrum,Present and accounted for,Ellarion,FALSE
,Wilfreda,Bond,Generosity,immortal,Present and accounted for,Ellarion,FALSE
,Nanami,Kellogg,Purity,halo,Present and accounted for,Ellarion,FALSE
,Samara,Lowry,Excellence,discovery,Present and accounted for,Ellarion,FALSE
,Destinee,Robert,Purity,centurion,Present and accounted for,Caelena,FALSE
,Teresa,Hunter,Kindness,spectrum,Present and accounted for,Ellarion,FALSE
,Milana,Tyrell,Strength,spectrum,Present and accounted for,Osiris,FALSE
,Alicia,Page,Confidence,centurion,Present and accounted for,Osiris,FALSE
,Naomi,Spencer,Hope,starfall,Present and accounted for,Caelena,FALSE
,Sakiko,Holland,Industry,starfall,Present and accounted for,Osiris,FALSE
,Callie,Jewell,Strength,spectrum,Present and accounted for,Caelena,FALSE
,Gayelord,Alfredson,None,polaris,Present and accounted for,Ellarion,FALSE
,Barclay,Newman,Hope,immortal,Present and accounted for,Caelena,FALSE
,Hoshiko,Hobbes,Loyalty,spectrum,Present and accounted for,Caelena,FALSE
,Mabella,Blakeley,Purity,cyclone,Present and accounted for,Caelena,FALSE
,Jessica,Plank,Strength,aurora,Present and accounted for,Ellarion,FALSE
,Nigel,Bennett,Ambition,spectrum,Present and accounted for,Osiris,FALSE
,Selma,Rome,None,starfall,Present and accounted for,Osiris,FALSE
,Bindy,Wickham,Strength,starfall,Present and accounted for,Caelena,FALSE
,Iosif,Trevis,Loyalty,spectrum,Present and accounted for,Ellarion,FALSE
,Nick,Carlisle,Fairness,halo,Present and accounted for,Ellarion,FALSE
,Gene,Pearson,Tenacity,spectrum,Present and accounted for,Ellarion,FALSE
,Malcolm,Jack,Hope,harbinger,Present and accounted for,Ellarion,FALSE
,Sukie,Barret,Excellence,polaris,Present and accounted for,Ellarion,FALSE
